EIN,BusinessName,TaxPeriodBegin,TaxPeriodEnd,Group,TotalAmt,ProgramServicesAmt,ManagementAndGeneralAmt,FundraisingAmt
131624086,METROPOLITAN MUSEUM OF ART,2022-07-01,2023-06-30,GrantsToDomesticOrgsGrp,0,0,0,0
131624086,METROPOLITAN MUSEUM OF ART,2022-07-01,2023-06-30,GrantsToDomesticIndividualsGrp,2349696,2349696,0,0
131624086,METROPOLITAN MUSEUM OF ART,2022-07-01,2023-06-30,ForeignGrantsGrp,6667,6667,0,0
131624086,METROPOLITAN MUSEUM OF ART,2022-07-01,2023-06-30,BenefitsToMembersGrp,0,0,0,0
131624086,METROPOLITAN MUSEUM OF ART,2022-07-01,2023-06-30,CompCurrentOfcrDirectorsGrp,10260070,2435463,6095361,1729246
131624086,METROPOLITAN MUSEUM OF ART,2022-07-01,2023-06-30,CompDisqualPersonsGrp,0,0,0,0
131624086,METROPOLITAN MUSEUM OF ART,2022-07-01,2023-06-30,OtherSalariesAndWagesGrp,135459515,69705542,57710153,8043820
131624086,METROPOLITAN MUSEUM OF ART,2022-07-01,2023-06-30,PensionPlanContributionsGrp,2046001,1005219,898001,142781
131624086,METROPOLITAN MUSEUM OF ART,2022-07-01,2023-06-30,OtherEmployeeBenefitsGrp,52772098,24530951,24789413,3451734
131624086,METROPOLITAN MUSEUM OF ART,2022-07-01,2023-06-30,PayrollTaxesGrp,10165373,4994339,4461638,709396
131624086,METROPOLITAN MUSEUM OF ART,2022-07-01,2023-06-30,FeesForServicesManagementGrp,0,0,0,0
131624086,METROPOLITAN MUSEUM OF ART,2022-07-01,2023-06-30,FeesForServicesLegalGrp,1460894,100031,1360863,0
131624086,METROPOLITAN MUSEUM OF ART,2022-07-01,2023-06-30,FeesForServicesAccountingGrp,655339,0,655339,0
131624086,METROPOLITAN MUSEUM OF ART,2022-07-01,2023-06-30,FeesForServicesLobbyingGrp,98665,0,0,98665
131624086,METROPOLITAN MUSEUM OF ART,2022-07-01,2023-06-30,FeesForServicesProfFundraising,110788,0,0,110788
131624086,METROPOLITAN MUSEUM OF ART,2022-07-01,2023-06-30,FeesForSrvcInvstMgmntFeesGrp,8177458,0,8177458,0
131624086,METROPOLITAN MUSEUM OF ART,2022-07-01,2023-06-30,FeesForServicesOtherGrp,10928493,8413709,1976115,538669
131624086,METROPOLITAN MUSEUM OF ART,2022-07-01,2023-06-30,AdvertisingGrp,8620671,340308,5403901,2876462
131624086,METROPOLITAN MUSEUM OF ART,2022-07-01,2023-06-30,OfficeExpensesGrp,23322495,20076597,2302113,943785
131624086,METROPOLITAN MUSEUM OF ART,2022-07-01,2023-06-30,InformationTechnologyGrp,5636757,3989935,1296587,350235
131624086,METROPOLITAN MUSEUM OF ART,2022-07-01,2023-06-30,RoyaltiesGrp,0,0,0,0
131624086,METROPOLITAN MUSEUM OF ART,2022-07-01,2023-06-30,OccupancyGrp,5853930,2455964,3397786,180
131624086,METROPOLITAN MUSEUM OF ART,2022-07-01,2023-06-30,TravelGrp,2778693,2482628,125472,170593
131624086,METROPOLITAN MUSEUM OF ART,2022-07-01,2023-06-30,PymtTravelEntrtnmntPubOfclGrp,0,0,0,0
131624086,METROPOLITAN MUSEUM OF ART,2022-07-01,2023-06-30,ConferencesMeetingsGrp,399656,218621,99277,81758
131624086,METROPOLITAN MUSEUM OF ART,2022-07-01,2023-06-30,InterestGrp,13683444,10762740,2737830,182874
131624086,METROPOLITAN MUSEUM OF ART,2022-07-01,2023-06-30,PaymentsToAffiliatesGrp,0,0,0,0
131624086,METROPOLITAN MUSEUM OF ART,2022-07-01,2023-06-30,DepreciationDepletionGrp,49317917,43135998,6029780,152139
131624086,METROPOLITAN MUSEUM OF ART,2022-07-01,2023-06-30,InsuranceGrp,1454748,1356570,97672,506
131624086,METROPOLITAN MUSEUM OF ART,2022-07-01,2023-06-30,OtherExpensesGrp - PURCHASES OF ART,52401477,52401477,0,0
131624086,METROPOLITAN MUSEUM OF ART,2022-07-01,2023-06-30,OtherExpensesGrp - REPAIRS & MAINTENANCE,15091027,12994725,1943147,153155
131624086,METROPOLITAN MUSEUM OF ART,2022-07-01,2023-06-30,OtherExpensesGrp - CATERING SERVICES,6015329,3022235,1871952,1121142
131624086,METROPOLITAN MUSEUM OF ART,2022-07-01,2023-06-30,OtherExpensesGrp - RECRUITMENT EXPENSE,495761,0,495761,0
131624086,METROPOLITAN MUSEUM OF ART,2022-07-01,2023-06-30,AllOtherExpensesGrp,681102,121502,559600,0
131624086,METROPOLITAN MUSEUM OF ART,2022-07-01,2023-06-30,TotalFunctionalExpensesGrp,420244064,266900917,132485219,20857928
